DUOF.IDX	Dow Util Stocks Above 150-Day Average
DUOH.IDX	Dow Util Stocks Above 100-Day Average
DUSL.IDX	DJ US LRGCAP
DUSM.IDX	DJ US MIDCAP
DUSS.IDX	DJ US SMLCAP
DUTH.IDX	Dow Util Stocks Above 200-Day Average
DUTW.IDX	Dow Util Stocks Above 20-Day Average
DVCA.IDX	AMEX Declining Volume
DVCC.IDX	CSE Declining Volume
DVCE.IDX	ETFS Declining Volume
DVCN.IDX	NYSE Declining Volume
DVCQ.IDX	NASD Declining Volume
DVCS.IDX	TSX Declining Volume
DVCT.IDX	Total Declining Volume
DVCU.IDX	OTC US Declining Volume
DVCV.IDX	TSXV Declining Volume
DVCX.IDX	CAD Total Declining Volume
DWCB.IDX	DJ US BANKS TOTAL INDEX
ESFD.IDX	S&P ESG Stocks Above 5-Day Average
ESFI.IDX	S&P ESG Stocks Above 50-Day Average
ESOF.IDX	S&P ESG Stocks Above 150-Day Average
ESOH.IDX	S&P ESG Stocks Above 100-Day Average
ESTH.IDX	S&P ESG Stocks Above 200-Day Average
ESTW.IDX	S&P ESG Stocks Above 20-Day Average
F1DA.IDX	1-Month Mcap Hi-Lo AMEX
F1DB.IDX	1-Month Mcap Hi-Lo S&P 500 Materials
F1DC.IDX	1-Month Mcap Hi-Lo Russell 2000
F1DF.IDX	1-Month Mcap Hi-Lo S&P 500 Financials
F1DG.IDX	1-Month Mcap Hi-Lo Russell 1000
F1DH.IDX	1-Month Mcap Hi-Lo Price GT $10
F1DI.IDX	1-Month Mcap Hi-Lo S&P 500 Industrials
F1DJ.IDX	1-Month Mcap Hi-Lo S&P 500 Utilities
F1DK.IDX	1-Month Mcap Hi-Lo S&P 500 Info Tech
F1DL.IDX	1-Month Mcap Hi-Lo Price Lt $10
F1DM.IDX	1-Month Mcap Hi-Lo S&P 500 Consumer Staples
F1DN.IDX	1-Month Mcap Hi-Lo NYSE
F1DO.IDX	1-Month Mcap Hi-Lo S&P 100
F1DP.IDX	1-Month Mcap Hi-Lo S&P 500
F1DQ.IDX	1-Month Mcap Hi-Lo Nasdaq
F1DR.IDX	1-Month Mcap Hi-Lo S&P 500 Real Estate
F1DS.IDX	1-Month Mcap Hi-Lo S&P 500 Health Care
F1DT.IDX	1-Month Mcap Hi-Lo S&P 500 Energies
F1DU.IDX	1-Month Mcap Hi-Lo Volume Lt 100K
F1DV.IDX	1-Month Mcap Hi-Lo Volume GT 100K
F1DW.IDX	1-Month Mcap Hi-Lo S&P 500 Telecom Srvs
F1DX.IDX	1-Month Mcap Hi-Lo Overall
F1DY.IDX	1-Month Mcap Hi-Lo S&P 500 Consumer Disc
F1DZ.IDX	1-Month Mcap Hi-Lo Russell 3000
F1HA.IDX	1-Month Mcap Highs AMEX
F1HB.IDX	1-Month Mcap Highs S&P 500 Materials
F1HC.IDX	1-Month Mcap Highs Russell 2000
F1HF.IDX	1-Month Mcap Highs S&P 500 Financials
F1HG.IDX	1-Month Mcap Highs Russell 1000
F1HH.IDX	1-Month Mcap Highs Price GT $10
F1HI.IDX	1-Month Mcap Highs S&P 500 Industrials
F1HJ.IDX	1-Month Mcap Highs S&P 500 Utilities
F1HK.IDX	1-Month Mcap Highs S&P 500 Info Tech
F1HL.IDX	1-Month Mcap Highs Price Lt $10
F1HM.IDX	1-Month Mcap Highs S&P 500 Consumer Staples
F1HN.IDX	1-Month Mcap Highs NYSE
F1HO.IDX	1-Month Mcap Highs S&P 100
F1HP.IDX	1-Month Mcap Highs S&P 500
F1HQ.IDX	1-Month Mcap Highs Nasdaq
F1HR.IDX	1-Month Mcap Highs S&P 500 Real Estate
F1HS.IDX	1-Month Mcap Highs S&P 500 Health Care
F1HT.IDX	1-Month Mcap Highs S&P 500 Energies
F1HU.IDX	1-Month Mcap Highs Volume Lt 100K
F1HV.IDX	1-Month Mcap Highs Volume GT 100K
F1HW.IDX	1-Month Mcap Highs S&P 500 Telecom Srvs
F1HX.IDX	1-Month Mcap Highs Overall
F1HY.IDX	1-Month Mcap Highs S&P 500 Consumer Disc
F1HZ.IDX	1-Month Mcap Highs Russell 3000
F1LA.IDX	1-Month Mcap Lows AMEX
F1LB.IDX	1-Month Mcap Lows S&P 500 Materials
F1LC.IDX	1-Month Mcap Lows Russell 2000
F1LF.IDX	1-Month Mcap Lows S&P 500 Financials
F1LG.IDX	1-Month Mcap Lows Russell 1000
F1LH.IDX	1-Month Mcap Lows Price GT $10
F1LI.IDX	1-Month Mcap Lows S&P 500 Industrials
F1LJ.IDX	1-Month Mcap Lows S&P 500 Utilities
F1LK.IDX	1-Month Mcap Lows S&P 500 Info Tech
F1LL.IDX	1-Month Mcap Lows Price Lt $10
F1LM.IDX	1-Month Mcap Lows S&P 500 Consumer Staples
F1LN.IDX	1-Month Mcap Lows NYSE
F1LO.IDX	1-Month Mcap Lows S&P 100
F1LP.IDX	1-Month Mcap Lows S&P 500
F1LQ.IDX	1-Month Mcap Lows Nasdaq
F1LR.IDX	1-Month Mcap Lows S&P 500 Real Estate
F1LS.IDX	1-Month Mcap Lows S&P 500 Health Care
F1LT.IDX	1-Month Mcap Lows S&P 500 Energies
F1LU.IDX	1-Month Mcap Lows Volume Lt 100K
F1LV.IDX	1-Month Mcap Lows Volume GT 100K
F1LW.IDX	1-Month Mcap Lows S&P 500 Telecom Srvs
F1LX.IDX	1-Month Mcap Lows Overall
F1LY.IDX	1-Month Mcap Lows S&P 500 Consumer Disc
F1LZ.IDX	1-Month Mcap Lows Russell 3000
F3DA.IDX	3-Month Mcap Hi-Lo AMEX
F3DB.IDX	3-Month Mcap Hi-Lo S&P 500 Materials
F3DC.IDX	3-Month Mcap Hi-Lo Russell 2000
F3DF.IDX	3-Month Mcap Hi-Lo S&P 500 Financials
F3DG.IDX	3-Month Mcap Hi-Lo Russell 1000
F3DH.IDX	3-Month Mcap Hi-Lo Price GT $10
F3DI.IDX	3-Month Mcap Hi-Lo S&P 500 Industrials
F3DJ.IDX	3-Month Mcap Hi-Lo S&P 500 Utilities
F3DK.IDX	3-Month Mcap Hi-Lo S&P 500 Info Tech
F3DL.IDX	3-Month Mcap Hi-Lo Price Lt $10
F3DM.IDX	3-Month Mcap Hi-Lo S&P 500 Consumer Staples
F3DN.IDX	3-Month Mcap Hi-Lo NYSE
F3DO.IDX	3-Month Mcap Hi-Lo S&P 100
F3DP.IDX	3-Month Mcap Hi-Lo S&P 500
F3DQ.IDX	3-Month Mcap Hi-Lo Nasdaq
F3DR.IDX	3-Month Mcap Hi-Lo S&P 500 Real Estate
F3DS.IDX	3-Month Mcap Hi-Lo S&P 500 Health Care
F3DT.IDX	3-Month Mcap Hi-Lo S&P 500 Energies
F3DU.IDX	3-Month Mcap Hi-Lo Volume Lt 100K
F3DV.IDX	3-Month Mcap Hi-Lo Volume GT 100K
F3DW.IDX	3-Month Mcap Hi-Lo S&P 500 Telecom Srvs
F3DX.IDX	3-Month Mcap Hi-Lo Overall
F3DY.IDX	3-Month Mcap Hi-Lo S&P 500 Consumer Disc
F3DZ.IDX	3-Month Mcap Hi-Lo Russell 3000
F3HA.IDX	3-Month Mcap Highs AMEX
F3HB.IDX	3-Month Mcap Highs S&P 500 Materials
F3HC.IDX	3-Month Mcap Highs Russell 2000
F3HF.IDX	3-Month Mcap Highs S&P 500 Financials
F3HG.IDX	3-Month Mcap Highs Russell 1000
F3HH.IDX	3-Month Mcap Highs Price GT $10
F3HI.IDX	3-Month Mcap Highs S&P 500 Industrials
F3HJ.IDX	3-Month Mcap Highs S&P 500 Utilities
F3HK.IDX	3-Month Mcap Highs S&P 500 Info Tech
F3HL.IDX	3-Month Mcap Highs Price Lt $10
F3HM.IDX	3-Month Mcap Highs S&P 500 Consumer Staples
F3HN.IDX	3-Month Mcap Highs NYSE
F3HO.IDX	3-Month Mcap Highs S&P 100
F3HP.IDX	3-Month Mcap Highs S&P 500
F3HQ.IDX	3-Month Mcap Highs Nasdaq
F3HR.IDX	3-Month Mcap Highs S&P 500 Real Estate
F3HS.IDX	3-Month Mcap Highs S&P 500 Health Care
F3HT.IDX	3-Month Mcap Highs S&P 500 Energies
F3HU.IDX	3-Month Mcap Highs Volume Lt 100K
F3HV.IDX	3-Month Mcap Highs Volume GT 100K
F3HW.IDX	3-Month Mcap Highs S&P 500 Telecom Srvs
F3HX.IDX	3-Month Mcap Highs Overall
F3HY.IDX	3-Month Mcap Highs S&P 500 Consumer Disc
F3HZ.IDX	3-Month Mcap Highs Russell 3000
F3LA.IDX	3-Month Mcap Lows AMEX
F3LB.IDX	3-Month Mcap Lows S&P 500 Materials
F3LC.IDX	3-Month Mcap Lows Russell 2000
F3LF.IDX	3-Month Mcap Lows S&P 500 Financials
F3LG.IDX	3-Month Mcap Lows Russell 1000
F3LH.IDX	3-Month Mcap Lows Price GT $10
F3LI.IDX	3-Month Mcap Lows S&P 500 Industrials
F3LJ.IDX	3-Month Mcap Lows S&P 500 Utilities
F3LK.IDX	3-Month Mcap Lows S&P 500 Info Tech
F3LL.IDX	3-Month Mcap Lows Price Lt $10
F3LM.IDX	3-Month Mcap Lows S&P 500 Consumer Staples
F3LN.IDX	3-Month Mcap Lows NYSE
F3LO.IDX	3-Month Mcap Lows S&P 100
F3LP.IDX	3-Month Mcap Lows S&P 500
F3LQ.IDX	3-Month Mcap Lows Nasdaq
F3LR.IDX	3-Month Mcap Lows S&P 500 Real Estate
F3LS.IDX	3-Month Mcap Lows S&P 500 Health Care
F3LT.IDX	3-Month Mcap Lows S&P 500 Energies
F3LU.IDX	3-Month Mcap Lows Volume Lt 100K
F3LV.IDX	3-Month Mcap Lows Volume GT 100K
F3LW.IDX	3-Month Mcap Lows S&P 500 Telecom Srvs
F3LX.IDX	3-Month Mcap Lows Overall
F3LY.IDX	3-Month Mcap Lows S&P 500 Consumer Disc
F3LZ.IDX	3-Month Mcap Lows Russell 3000
F5DA.IDX	5-Day Mcap Hi-Lo AMEX
F5DB.IDX	5-Day Mcap Hi-Lo S&P 500 Materials
F5DC.IDX	5-Day Mcap Hi-Lo Russell 2000
F5DF.IDX	5-Day Mcap Hi-Lo S&P 500 Financials
F5DG.IDX	5-Day Mcap Hi-Lo Russell 1000
F5DH.IDX	5-Day Mcap Hi-Lo Price GT $10
F5DI.IDX	5-Day Mcap Hi-Lo S&P 500 Industrials
F5DJ.IDX	5-Day Mcap Hi-Lo S&P 500 Utilities
F5DK.IDX	5-Day Mcap Hi-Lo S&P 500 Info Tech
F5DL.IDX	5-Day Mcap Hi-Lo Price Lt $10
F5DM.IDX	5-Day Mcap Hi-Lo S&P 500 Consumer Staples
F5DN.IDX	5-Day Mcap Hi-Lo NYSE
F5DO.IDX	5-Day Mcap Hi-Lo S&P 100
F5DP.IDX	5-Day Mcap Hi-Lo S&P 500
F5DQ.IDX	5-Day Mcap Hi-Lo Nasdaq
F5DR.IDX	5-Day Mcap Hi-Lo S&P 500 Real Estate
F5DS.IDX	5-Day Mcap Hi-Lo S&P 500 Health Care
F5DT.IDX	5-Day Mcap Hi-Lo S&P 500 Energies
F5DU.IDX	5-Day Mcap Hi-Lo Volume Lt 100K
F5DV.IDX	5-Day Mcap Hi-Lo Volume GT 100K
F5DW.IDX	5-Day Mcap Hi-Lo S&P 500 Telecom Srvs
F5DX.IDX	5-Day Mcap Hi-Lo Overall
